code,name,en,lat,lng
510,방화,BANGHWA,37.577669,126.812822
511,개화산,GAEHWASAN,37.572458,126.806838
512,김포공항,GIMPO INTL AIRPORT,37.562170,126.801273
513,송정,SONGJEONG,37.561411,126.812052
514,마곡,MAGOK,37.560199,126.825548
515,발산,BALSAN,37.558989,126.837335
516,우장산,UJANGSAN,37.548864,126.836330
517,화곡,HWAGOK,37.541585,126.840436
518,까치산,KKACHISAN,37.531810,126.846706
519,신정,SINJEONG,37.525001,126.856176
520,목동,MOK-DONG,37.526088,126.864296
521,오목교,OMOKGYO,37.524557,126.875049
522,양평,YANGPYEONG,37.525614,126.886177
523,영등포구청,YEONGDEUNGPO-GU OFFICE,37.524209,126.895022
524,영등포시장,YEONGDEUNGPO MARKET,37.522760,126.905143
525,신길,SINGIL,37.517630,126.914886
526,여의도,YEOUIDO,37.521578,126.924318
527,여의나루,YEOUINARU,37.527145,126.932807
528,마포,MAPO,37.539718,126.946043
529,공덕,GONGDEOK,37.544005,126.951058
530,애오개,AEOGAE,37.553592,126.956733
531,충정로,CHUNGJEONGNO,37.560061,126.962783
532,서대문,SEODAEMUN,37.565812,126.966639
533,광화문,GWANGHWAMUN,37.570545,126.976568
534,종로3가,JONGNO 3-GA,37.572546,126.990447
535,을지로4가,EULJIRO 4-GA,37.566580,126.998127
536,동대문역사문화공원,DONGDAEMUN HISTORY & CULTURE PARK,37.564682,127.005330
537,청구,CHEONGGU,37.560237,127.013790
538,신금호,SINGEUMHO,37.554504,127.020403
539,행당,HAENGDANG,37.557297,127.029482
540,왕십리,WANGSIMNI,37.561970,127.037264
541,마장,MAJANG,37.566066,127.042921
542,답십리,DAPSIMNI,37.566833,127.052660
543,장한평,JANGHANPYEONG,37.561438,127.064601
544,군자,GUNJA,37.557102,127.079559
545,아차산,ACHASAN,37.552005,127.089609
546,광나루,GWANGNARU,37.545301,127.103478
547,천호,CHEONHO,37.538566,127.123539
548,강동,GANGDONG,37.535810,127.132490
549,길동,GIL-DONG,37.538022,127.140085
550,굽은다리,GUBEUNDARI,37.545442,127.142844
551,명일,MYEONGIL,37.551317,127.144002
552,고덕,GODEOK,37.555002,127.154214
553,상일동,SANGIL-DONG,37.556714,127.166381
554,강일,GANGIL,37.557521,127.176018
555,미사,MISA,37.563290,127.192954
556,하남풍산,HANAM PUNGSAN,37.552201,127.203897
557,하남시청,HANAM CITY HALL,37.541723,127.206901
558,하남검단산,HANAM GEOMDANSAN,37.539729,127.223427
P549,둔촌동,DUNCHON-DONG,37.527787,127.136219
P550,올림픽공원,OLYMPIC PARK,37.516217,127.130957
P551,방이,BANGI,37.508752,127.126054
P552,오금,OGEUM,37.502228,127.127701
P553,개롱,GAERONG,37.498097,127.134817
P554,거여,GEOYEO,37.493208,127.143983
P555,마천,MACHEON,37.494972,127.152784
