code,name,en,lat,lng
610,응암,EUNGAM,37.598590,126.915583
611,역촌,YEOKCHON,37.606050,126.922764
612,불광,BULGWANG,37.610919,126.929504
613,독바위,DOKBAWI,37.618413,126.933035
614,연신내,YEONSINNAE,37.618596,126.920519
615,구산,GUSAN,37.611223,126.917246
616,새절,SAEJEOL,37.591148,126.913613
617,증산,JEUNGSAN,37.583989,126.909785
618,디지털미디어시티,DIGITAL MEDIA CITY,37.577005,126.898643
619,월드컵경기장,WORLD CUP STADIUM,37.569439,126.899077
620,마포구청,MAPO-GU OFFICE,37.563535,126.903326
621,망원,MANGWON,37.556031,126.910129
622,합정,HAPJEONG,37.549033,126.913546
623,상수,SANGSU,37.547704,126.922920
624,광흥창,GWANGHEUNGCHANG,37.547464,126.931971
625,대흥,DAEHEUNG,37.547732,126.942214
626,공덕,GONGDEOK,37.543592,126.951664
627,효창공원앞,HYOCHANG PARK,37.539279,126.961348
628,삼각지,SAMGAKJI,37.535563,126.973996
629,녹사평,NOKSAPYEONG,37.534690,126.986650
630,이태원,ITAEWON,37.534485,126.994369
631,한강진,HANGANGJIN,37.539560,127.001729
632,버티고개,BEOTIGOGAE,37.547933,127.006948
633,약수,YAKSU,37.554087,127.010237
634,청구,CHEONGGU,37.560221,127.013776
635,신당,SINDANG,37.566174,127.016158
636,동묘앞,DONGMYO,37.572275,127.015666
637,창신,CHANGSIN,37.579772,127.015246
638,보문,BOMUN,37.585293,127.019377
639,안암,ANAM,37.586261,127.029030
640,고려대,KOREA UNIVERSITY,37.590340,127.036260
641,월곡,WOLGOK,37.601920,127.041492
642,상월곡,SANGWOLGOK,37.606392,127.048509
643,돌곶이,DOLGOJI,37.610522,127.056419
644,석계,SEOKGYE,37.614937,127.065922
645,태릉입구,TAEREUNG,37.617319,127.074741
646,화랑대,HWARANGDAE,37.619875,127.084106
647,봉화산,BONGHWASAN,37.617293,127.091375
648,신내,SINNAE,37.612571,127.104326
