code,name,en,lat,lng
711,장암,JANGAM,37.700150,127.053126
712,도봉산,DOBONGSAN,37.689131,127.046548
713,수락산,SURAKSAN,37.677804,127.055314
714,마들,MADEUL,37.664985,127.057701
715,노원,NOWON,37.654478,127.060555
716,중계,JUNGGYE,37.645052,127.064084
717,하계,HAGYE,37.636363,127.067999
718,공릉,GONGNEUNG,37.625642,127.072969
719,태릉입구,TAEREUNG,37.617319,127.074741
720,먹골,MEOKGOL,37.610638,127.077719
721,중화,JUNGHWA,37.602604,127.079254
722,상봉,SANGBONG,37.595673,127.085708
723,면목,MYEONMOK,37.588671,127.087503
724,사가정,SAGAJEONG,37.580912,127.088502
725,용마산,YONGMASAN,37.573752,127.086802
726,중곡,JUNGGOK,37.565877,127.084291
727,군자,GUNJA,37.557151,127.079484
728,어린이대공원,CHILDREN'S GRAND PARK,37.547962,127.074650
729,건대입구,KONKUK UNIV.,37.540882,127.071103
730,자양,JAYANG,37.531558,127.066714
731,청담,CHEONGDAM,37.519097,127.051851
732,강남구청,GANGNAM-GU OFFICE,37.517185,127.041220
733,학동,HAKDONG,37.514262,127.031738
734,논현,NONHYEON,37.511108,127.021385
735,반포,BANPO,37.508171,127.011717
736,고속터미널,EXPRESS BUS TERMINAL,37.503387,127.005055
737,내방,NAEBANG,37.487640,126.993541
738,이수,ISU,37.485258,126.981766
739,남성,NAMSEONG,37.484688,126.971108
740,숭실대입구,SOONGSIL UNIV.,37.496258,126.953649
741,상도,SANGDO,37.502790,126.947949
742,장승배기,JANGSEUNGBAEGI,37.504845,126.939025
743,신대방삼거리,SINDAEBANGSAMGEORI,37.499717,126.928218
744,보라매,BORAMAE,37.499916,126.920112
745,신풍,SINPUNG,37.500107,126.909806
746,대림,DAERIM,37.492984,126.896997
747,남구로,NAMGURO,37.486181,126.887372
748,가산디지털단지,GASAN DIGITAL COMPLEX,37.480376,126.882704
749,철산,CHEOLSAN,37.476160,126.868217
750,광명사거리,GWANGMYEONG SAGEORI,37.479270,126.854854
751,천왕,CHEONWANG,37.486699,126.838684
752,온수,ONSU,37.492059,126.823294
753,까치울,KKACHIOUL,37.506236,126.81095
754,부천종합운동장,BUCHEON STADIUM,37.50538,126.79735
755,춘의,CHUNUI,37.50365,126.78707
756,신중동,SINJUNGDONG,37.50308,126.77616
757,부천시청,BUCHEON CITY HALL,37.50461,126.76356
758,상동,SANG-DONG,37.50577,126.75308
759,삼산체육관,SAMSAN GYMNASIUM,37.50643,126.74208
760,굴포천,GULPOCHEON,37.50695,126.73148
761,부평구청,BUPYEONG-GU OFFICE,37.50841,126.72054
762,산곡,SANGOK,37.50855,126.70351
763,석남,SEONGNAM,37.50621,126.67621
