code,name,en,lat,lng
804,별내,BYEOLLAE,37.642320,127.127600
805,다산,DASAN,37.624290,127.149730
806,동구릉,DONGGUREUNG,37.611050,127.137930
807,구리,GURI,37.602620,127.140700
808,장자호수공원,JANGJA LAKE PARK,37.587380,127.137940
809,암사역사공원,AMSA HISTORY PARK,37.556950,127.137020
810,암사,AMSA,37.550127,127.127521
811,천호,CHEONHO,37.537920,127.123179
812,강동구청,GANGDONG-GU OFFICE,37.530348,127.120461
813,몽촌토성,MONGCHONTOSEONG,37.517692,127.112740
814,잠실,JAMSIL,37.514649,127.104267
815,석촌,SEOKCHON,37.505396,127.106995
816,송파,SONGPA,37.499780,127.112120
817,가락시장,GARAK MARKET,37.493004,127.118279
818,문정,MUNJEONG,37.485931,127.122473
819,장지,JANGJI,37.478609,127.126229
820,복정,BOKJEONG,37.471016,127.126746
821,남위례,NAMWIRYE,37.462839,127.139047
822,산성,SANSEONG,37.456886,127.149927
823,남한산성입구,NAMHANSANSEONG,37.451568,127.159845
824,단대오거리,DANDAEOGEORI,37.445057,127.156735
825,신흥,SINHEUNG,37.440952,127.147590
826,수진,SUJIN,37.437575,127.140936
827,모란,MORAN,37.433888,127.129921
