order,code,name_ko,name_en,latitude,longitude,source_crs,verification
42,K250,사리,SARI,37.290641,126.857104,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
43,K251,한대앞,HANYANG UNIV. AT ANSAN,37.310207,126.853246,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
44,K252,중앙,JUNGANG,37.316040,126.837959,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
45,K253,고잔,GOJAN,37.316825,126.822470,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
46,K254,초지,CHOJI,37.320896,126.805461,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
47,K255,안산,ANSAN,37.327401,126.788019,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
48,K256,신길온천,SINGILONCHEON,37.337892,126.766558,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
49,K257,정왕,JEONGWANG,37.352013,126.742261,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
50,K258,오이도,OIDO,37.362929,126.738923,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
51,K259,달월,DARWOL,37.380027,126.745403,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
52,K260,월곶,WOLGOT,37.391821,126.742708,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
53,K261,소래포구,SORAEPOGU,37.400940,126.733492,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
54,K262,인천논현,INCHEON NONHYEON,37.400659,126.722452,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
55,K263,호구포,HOGUPO,37.401642,126.708683,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
56,K264,남동인더스파크,NAMDONG INDUSPARK,37.407742,126.695227,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
57,K265,원인재,WONINJAE,37.413212,126.686458,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
58,K266,연수,YEONSU,37.417927,126.678747,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
59,K267,송도,SONGDO,37.429962,126.654676,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
60,K269,인하대,INHA UNIVERSITY,37.448339,126.649763,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
61,K270,숭의,SUNGUI,37.460800,126.638411,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
62,K271,신포,SINPO,37.468455,126.624534,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
63,K272,인천,INCHEON,37.476469,126.617398,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
