code,name_ko,name_en,latitude,longitude
309,대화,DAEHWA,37.676087,126.747569
310,주엽,JUYEOP,37.670072,126.761334
311,정발산,JEONGBALSAN,37.659477,126.773359
312,마두,MADU,37.652206,126.777620
313,백석,BAEKSEOK,37.643114,126.787870
314,대곡,DAEGOK,37.631626,126.811024
315,화정,HWAJEONG,37.634592,126.832650
316,원당,WONDANG,37.653324,126.843041
317,원흥,WONHEUNG,37.650658,126.872642
318,삼송,SAMSONG,37.653083,126.895558
319,지축,JICHUK,37.648281,126.912551
320,구파발,GUPABAL,37.636612,126.918827
321,연신내,YEONSINNAE,37.618855,126.920859
322,불광,BULGWANG,37.610554,126.929843
323,녹번,NOKBEON,37.600882,126.935758
324,홍제,HONGJE,37.588851,126.944092
325,무악재,MUAKJAE,37.582658,126.950131
326,독립문,DONGNIMMUN,37.574534,126.957902
327,경복궁,GYEONGBOKGUNG,37.575844,126.973576
328,안국,ANGUK,37.576562,126.985470
329,종로3가,JONGNO 3-GA,37.571537,126.991237
330,을지로3가,EULJIRO 3-GA,37.566299,126.992616
331,충무로,CHUNGMURO,37.561302,126.995473
332,동대입구,DONGGUK UNIV.,37.558160,127.005273
333,약수,YAKSU,37.554674,127.010628
334,금호,GEUMHO,37.548269,127.015785
335,옥수,OKSU,37.541653,127.017303
336,압구정,APGUJEONG,37.526169,127.028502
337,신사,SINSA,37.516438,127.020247
338,잠원,JAMWON,37.512989,127.011613
339,고속터미널,EXPRESS BUS TERMINAL,37.504953,127.004916
340,교대,SEOUL NAT'L UNIV. OF EDUCATION,37.493060,127.013796
341,남부터미널,NAMBU BUS TERMINAL,37.484940,127.016289
342,양재,YANGJAE,37.484660,127.035130
343,매봉,MAEBONG,37.487114,127.046907
344,도곡,DOGOK,37.491129,127.055694
345,대치,DAECHI,37.494601,127.063449
346,학여울,HANGNYEOUL,37.496757,127.070541
347,대청,DAECHEONG,37.493607,127.079526
348,일원,IRWON,37.483890,127.084160
349,수서,SUSEO,37.487507,127.101324
350,가락시장,GARAK MARKET,37.492368,127.118101
351,경찰병원,NATIONAL POLICE HOSPITAL,37.495754,127.124198
352,오금,OGEUM,37.502288,127.128344
